name,image,location,description
Patricia Cardwell,,"East Iberville High School, St. Gabriel, LA",
Maureen Doyle,https://informatics.nku.edu/content/informatics/departments/computer-science/people/doylem3/_jcr_content/par/textimage/image.img.jpg/1441203448742.jpg,"Northern Kentucky University, Highland Heights, KY","Associate Professor of Computer Science, College of Informatics"
Joanne Lang,https://pbs.twimg.com/profile_images/599287040396566528/SBaABIZY_400x400.jpg,Advance Kentucky,
Zach Dodds,https://www.cs.hmc.edu/people/Dodds.jpg,"Harvey Mudd College, Claremont, CA",Professor of Computer Science
Patricia Morreale,http://www.kean.edu/~compsci/images/faculty/DrMorreale.jpg,"Kean University, Kean, NJ","Chairperson, Professor of Computer Science"
Juan J Li,http://www.kean.edu/~compsci/images/faculty/DrJennyLi_IMG_9711_1500x2400_5x8.jpg,"Kean University, Kean, NJ",Assistant Professor of Computer Science
Kamaljeet Sanghera,http://www.washingtonexec.com/wp-content/uploads/2014/10/Sanghera-Kamaljeet1.jpg,"George Mason University, Fairfax, VA","Associate Professor, Department of Information Sciences and Technology"
Lisa Shaffren,,"The Crefeld School, Philadelphia, PA",Conceptual Physics and Computer Science Teacher
Jamie Payton,https://cis.temple.edu/sites/default/files/styles/portrait-large/public/user_pictures/picture-444-1471294001.jpg?itok=QZDA2gU1,"Temple University, Philadelphia, PA","Associate Professor, Department of Computer and Information Sciences"
Solomon Russell,http://www.exploringcs.org/wp-content/uploads/2011/11/solomon-russell.jpg,"SMASH LPFI, Los Angeles, CA",Computer Science Instructor
Jennifer Albert,http://www4.ncsu.edu/~tmbarnes/students/jen.jpg,"The Citadel, Charleston, SC","Director, STEM Center of Excellence, Zucker Family School of Education"
Mary Fries,http://ltd.edc.org/sites/ltd.edc.org/files/MaryFries.jpg,"EDC, Waltham, MA",
Tiffany Barnes,tiffany-barnes.png,"NCSU","Program Manager"
Lauren Mock,lauren-mock.jpg,"UC Berkeley, CA","Program Manager"
