date,url,title,source
2016-08-25,"https://edsource.org/2016/new-computer-science-courses-challenge-is-finding-qualified-teachers-to-teach-it/568081","New computer science course's challenge is finding qualified teachers to teach it",EdSource
2016-01-29,"http://ny.chalkbeat.org/2016/01/29/kicking-off-computer-science-for-all-city-will-add-ap-classes-software-programs/","Kicking off <i>Computer Science for All</i> city will add AP classes, software programs",NY Chalkbeat
2016-01-14,"http://www.npr.org/sections/ed/2016/01/14/462954645/adding-beauty-and-joy-to-obamas-push-for-computer-science-teaching","Adding 'Beauty And Joy' To Obama's Push For Computer Science Teaching",NPR's All Things Considered (audio)
2015-10-02,"https://vimeo.com/141142862","Snap! and BJC in the Scratch constellation",Scratch Amsterdam documentary (video)
2015-09-16,"http://www1.nyc.gov/office-of-the-mayor/education-vision-2015-computer-science.page","CS for All: Fundamentals for Our Future",NYC Mayor's office (video with BJC teachers and Curriculum featured)
2015-09-10,"http://www.usatoday.com/story/tech/2015/09/10/codeorg-hadi-partovi-computer-science-back--school-kids-teachers-women-minorities/71905738/","Code.org trains 15,000 teachers in computer science",USA Today
2015-09-01,"http://www.lpfi.org/cs-initiatives/cs-principles-course/","LPFI and UC Berkeley's ""Beauty and Joy of Computing"" Collaborate to Bring CS Principles to SMASH Scholars",LPFI Blog
2015-03-11,"http://nsf.gov/discoveries/disc_summ.jsp?cntn_id=134330&org=NSF","The Beauty and Joy of Computing in the Big Apple",NSF Discoveries
2015-02-26,"http://tedxberkeley.org/portfolio-item/dan-garcia","Dan Garcia at TEDxBerkeley: The Beauty and Joy of Computing",TEDxBerkeley
2015-02-26,"http://www.nydailynews.com/new-york/education/city-receives-5-5m-ap-classes-computer-science-article-1.2129851","City receives $5.5M grant for AP classes in computer science that focus on STEM",New York Daily News
2014-12-05,"http://www.nbcbayarea.com/news/local/Class-Action-Gearing-Up-for-the-Hour-of-Code-284942781.html","Class Action: Gearing Up for the Hour of Code",NBC Bay Area (video)
2014-10-01,"http://www.thecrimson.com/article/2014/10/1/edx-high-school-courses/","EdX To Offer High School Level Courses",Harvard Crimson
2014-09-16,"http://youtu.be/_Mwc1gc77dc","Why top universities teach drag and drop programming",code.org
2014-08-27,"http://www.centerdigitaled.com/news/California-Computer-Science-Education.html","California Shores up Support for Computer Science Education",Center for Digital Education
2014-08-07,"http://washpost.bloomberg.com/Story?docId=1376-N9IG5H6S972901-3RM7T3NVS7SO36FHQPHQSMLDSK","Harvey Mudd's Klawe Draws Blueprint for Closing Gender Gap: Tech",Washington Post (with Bloomberg)
2014-07-23,"http://www.nj.com/suburbannews/index.ssf/2014/07/cs4hs_at_kean_university_provi.html","CS4HS at Kean University provides high school teachers with tools for success",NJ Suburban News
2014-07-10,"http://alumni.berkeley.edu/california-magazine/just-in/2014-07-10/silicon-valley-earns-image-boys-club-tech-bros-score-one","As Silicon Valley Earns Image as a Boys' Club of ""Tech Bros,"" Score One for Diversity",Cal Alumni Association
2014-05-29,"http://www.ktvu.com/news/news/local/uc-berkeley-professor-works-make-tech-world-more-d/nf9bM/","Local professors work to make tech world more diverse",KTVU news (with video)
2014-05-28,"http://www.pbs.org/newshour/updates/teaching-coding-kids-key-closing-fields-diversity-gap/","Computer science's diversity gap starts early",PBS NewsHour
2014-05-19,"https://archive.org/details/KTVU_20140519_220000_RightThisMinute#start/840/end/900","What better way to get ready for your final?",FOX KTVU Right This Minute (video)
2014-05-16,"http://www.huffingtonpost.com/2014/05/16/professor-computer-science-rap_n_5339571.html","UC Berkeley Professor Drops Pre-Final Computer Science Rap",Huffington Post (with video)
2014-05-07,"http://www.dailycal.org/2014/05/07/state-senate-passes-bill-allow-high-school-computer-science-classes-meet-college-admissions-requirements/","State senate passes bill to allow high school computer science classes to meet college admissions requirements",The Daily Californian
2014-04-22,"http://www.keyreporter.org/PbkNews/PbkNews/Details/1001.html","Innovations in Teaching: The Beauty and Joy of Computing",Phi Beta Kappa News
2014-03-20,"http://www.verizonwireless.com/news/article/2014/03/new-face-of-tech.html","The New Face of Tech...Is Wearing Mascara",Verizon Wireless newscenter (remix of SF Chronicle article)
2014-03-07,"http://www.joannejacobs.com/2014/03/programming-for-all/","Programming for all?",Linking and thinking on education
2014-03-03,"http://nationswell.com/can-changing-computer-science-classs-focus-attract-women/","One Small Tweak Made a World of Difference in This Computer Science Class",NationSwell (remix of SF Chronicle article)
2014-03-01,"http://www.mercurynews.com/mike-cassidy/ci_25248069/we-need-moon-shot-propel-women-into-computer","We need a moon shot to propel women into computer science careers",San Jose Mercury News (front page)
2014-03-01,"http://www.mercurynews.com/News/ci_25248193/CS-KickStart-gives-budding-female-computer","CS KickStart gives budding female computer scientists a window to the programming world",San Jose Mercury News (photo only)
2014-02-26,"http://www.bustle.com/articles/16629-women-in-tech-ladies-outnumber-men-in-uc-berkeley-computer-class-for-the-first-time-ever","Women in Tech: Ladies outnumber men in UC Berkeley computer class for the first time ever",Bustle (remix of SF Chronicle article)
2014-02-25,"http://abc7news.com/archive/9445566/","Foodies using technology to get tough reservations",ABC 7 News (with video)
2014-02-24,"http://mic.com/articles/83207/for-the-first-time-women-outnumber-men-in-this-intro-computer-science-class?utm_source=policymicTWTR&utm_medium=social&utm_campaign=Feb","There Was a Major Step Forward for Women and Tech at Berkeley",Identities.Mic (remix of SF Chronicle article)
2014-02-24,"http://women2.com/2014/02/24/first-time-ever-women-men-enroll-uc-berkeley-intro-cs/","For the First Time Ever, More Women Than Men Enroll in UC Berkeley Intro to CS",women2.0 (remix of TechCrunch article)
2014-02-22,"http://bigthink.com/60-second-reads/women-outnumber-men-in-berkeleys-intro-to-computer-science","Women Outnumber Men in Berkeley's Intro to Computer Science",bigthing (remix of TechCrunch article)
2014-02-22,"https://news.ycombinator.com/item?id=7277947","Women Outnumber Men For The First Time In Berkeley's Intro To Computer Science",Y combinator Hacker News (remix of TechCrunch article)
2014-02-21,"http://techcrunch.com/2014/02/21/women-outnumber-men-for-the-first-time-in-berkeleys-intro-to-computer-science-course/","Women Outnumber Men For The First Time In Berkeley's Intro To Computer Science Course",TechCrunch
2014-02-21,"http://www.slate.com/blogs/future_tense/2014/02/21/a_berkeley_intro_computer_science_course_has_more_women_than_men_for_the.html","For the First Time, Women Outnumber Men in a UC-Berkeley Computer Science Course",slate (remix of SF Chronicle article)
2014-02-18,"http://www.sfgate.com/education/article/Revamped-computer-science-classes-attracting-more-5243026.php","Tech shift: More women in computer science classes",San Francisco Chronicle (front page)
2013-12-11,"http://www.contracostatimes.com/news/ci_24696647/hundreds-teens-attend-computer-science-education-day-at","Hundreds of teens attend Computer Science Education Day at Cal",Contra Costa Times
2013-11-20,"http://berkeleysciencereview.com/article/online-education/","Online Education",berkeley science review
2013-11-17,"http://www.dailycal.org/2013/11/17/uc-unveils-new-online-courses/","UC unveils 20 new online courses for high-demand classes",The Daily Californian
2013-08-20,"http://mindyourdecisions.com/blog/2013/08/20/how-to-win-at-connect-four-every-time-a-game-solver-you-can-use-from-your-smartphone-or-computer/#.U_4qx7xdW28","How to win at Connect Four every time! A link to a game solver that you can use on your smartphone or computer",Mind Your Decisions (blog)
2013-03-21,"http://www.dailycal.org/2013/03/21/uc-berkeley-aims-to-stay-ahead-of-the-curve-in-age-of-tech/","UC Berkeley aims to stay ahead of the curve in age of tech",The Daily Californian
2013-02-27,"http://www.dailycal.org/2013/02/27/professors-see-varying-success-in-online-courses/","Professors see varying success in online courses",The Daily Californian (with video)
2013-01-08,"http://www.pbs.org/newshour/rundown/one-professors-approach-to-online-learning-hes-learning-too/","One Professor's Approach to Online Learning: He's Learning Too",PBS NewsHour (with video)
2012-11-14,"http://www.dailycal.org/2012/11/14/compulsory-computing/","Compulsory Computing",The Daily Californian
2012-11-13,"http://www.dailycal.org/2012/11/13/female-students-still-struggling-to-find-foothold-in-computer-science/","Female students still struggle to find foothold in engineering, computer science",The Daily Californian
2012-10-29,"http://chronicle.com/article/Rebooting-Recruiting-to-Get/135282/","A Reboot in Recruiting Women Into Computer Science",The Chronicle of Higher Education
2012-09-09,"http://www.dailycal.org/2012/09/09/uc-berkeley-professors-develop-computer-science-course/","UC Berkeley instructors develop new computer science course",The Daily Californian
2012-03-19,"http://www.dailycal.org/2012/03/19/campus-increases-use-of-social-media-online-platforms-for-discussion/","Campus increases use of social media, online platforms for discussion",The Daily Californian
2012-02-20,"http://www.dailycal.org/2012/02/20/uc-inaugurates-pilot-program-for-online-classes/","UC inaugurates pilot program for online classes",The Daily Californian
2010-08-19,"http://helenemartin.com/2010-08-why-build-your-own-blocks/","Why Build Your Own Blocks?",H&eacute;l&egrave;ne Martin (blog)
2009-12-15,"http://engineering.berkeley.edu/2009/12/oh-beauty-and-joy-computing","Oh! The Beauty and Joy of Computing",Berkeley Engineering
